"","ref","company_manufacturer","company_location","review_date","country_of_bean_origin","specific_bean_origin_or_bar_name","cocoa_percent","ingredients","most_memorable_characteristics","rating"
"1",2454,"5150","U.S.A.",2019,"Tanzania","Kokoa Kamili, batch 1","76%","3- B,S,C","rich cocoa, fatty, bready",3.25
"2",2458,"5150","U.S.A.",2019,"Dominican Republic","Zorzal, batch 1","76%","3- B,S,C","cocoa, vegetal, savory",3.5
"3",2454,"5150","U.S.A.",2019,"Madagascar","Bejofo Estate, batch 1","76%","3- B,S,C","cocoa, blackberry, full body",3.75
"4",2542,"5150","U.S.A.",2021,"Fiji","Matasawalevu, batch 1","68%","3- B,S,C","chewy, off, rubbery",3
"5",2546,"5150","U.S.A.",2021,"Venezuela","Sur del Lago, batch 1","72%","3- B,S,C","fatty, earthy, moss, nutty,chalky",3
"6",2546,"5150","U.S.A.",2021,"Uganda","Semuliki Forest, batch 1","80%","3- B,S,C","mildly bitter, basic cocoa, fatty",3.25
"7",2542,"5150","U.S.A.",2021,"India","Anamalai, batch 1","68%","3- B,S,C","milk brownie, macadamia,chewy",3.5
"8",797,"A. Morin","France",2012,"Bolivia","Bolivia","70%","4- B,S,C,L","vegetal, nutty",3.5
"9",797,"A. Morin","France",2012,"Peru","Peru","63%","4- B,S,C,L","fruity, melon, roasty",3.75
"10",1011,"A. Morin","France",2013,"Panama","Panama","70%","4- B,S,C,L","brief fruit note, earthy, nutty",2.75
"11",1015,"A. Morin","France",2013,"Colombia","Colombie","70%","4- B,S,C,L","burnt rubber,alkalyzed notes",2.75
"12",1011,"A. Morin","France",2013,"Madagascar","Madagascar, Criollo","70%","4- B,S,C,L","sticky, red fruit, sour",3
"13",1015,"A. Morin","France",2013,"Burma","Birmanie","70%","4- B,S,C,L","sticky, smokey, grass",3
"14",1011,"A. Morin","France",2013,"Brazil","Brazil","70%","4- B,S,C,L","mild tobacco",3.25
"15",1015,"A. Morin","France",2013,"Papua New Guinea","Papua New Guinea","70%","4- B,S,C,L","mild fruit, strong smoke",3.25
"16",1019,"A. Morin","France",2013,"Peru","Piura","70%","4- B,S,C,L","green, nutty, cocoa",3.25
"17",1019,"A. Morin","France",2013,"Peru","Chanchamayo Province","70%","4- B,S,C,L","cocoa,sour,intense tangerine",3.5
"18",1011,"A. Morin","France",2013,"Ecuador","Equateur","70%","4- B,S,C,L","sandy, nutty, cocoa, fig",3.75
"19",1015,"A. Morin","France",2013,"Venezuela","Chuao","70%","4- B,S,C,L","oily, nut, caramel, raspberry",4
"20",1019,"A. Morin","France",2013,"Peru","Chanchamayo Province","63%","3- B,S,C","sweet, cocoa, tangerine",4
"21",1315,"A. Morin","France",2014,"Venezuela","Carenero, Criollo","70%","4- B,S,C,L","harsh, leather, earthy",2.75
"22",1315,"A. Morin","France",2014,"Cuba","Cuba","70%","4- B,S,C,L","sliglty dry, papaya",3.5
"23",1315,"A. Morin","France",2014,"Venezuela","Sur del Lago, Criollo","70%","4- B,S,C,L","nutty, mild choco, roasty",3.5
"24",1319,"A. Morin","France",2014,"Venezuela","Puerto Cabello, Criollo","70%","4- B,S,C,L","astringent, nutty, chocolatey",3.75
"25",1319,"A. Morin","France",2014,"Peru","Pablino","70%","4- B,S,C,L","delicate, hazelnut, brownie",4
"26",1676,"A. Morin","France",2015,"Togo","Kpime","70%","4- B,S,C,L","burnt wood, earthy, choco",2.75
"27",1676,"A. Morin","France",2015,"Togo","Atsane","70%","4- B,S,C,L","roasty, acidic, nutty",3
"28",1680,"A. Morin","France",2015,"Togo","Akata","70%","4- B,S,C,L","mild profile, chocolaty, spice",3.5
"29",1704,"A. Morin","France",2015,"Peru","Quilla","70%","4- B,S,C,L","grainy texture, cocoa, sweet",3.5
"30",1876,"A. Morin","France",2016,"Sao Tome","Agua Grande","63%","4- B,S,C,L","sweet, chocolatey, vegetal",3.75
"31",2206,"A. Morin","France",2018,"Venezuela","Porcelana","70%","4- B,S,C,L","alluring aroma, powdery,nutty",3.5
"32",2206,"A. Morin","France",2018,"Peru","Absolu","63%","4- B,S,C,L","sweet, dairy, spice, cocoa",3.75
"33",2648,"A. Morin","France",2021,"Mexico","La Joya","70%","4- B,S,C,L","light color, fruit, yogurt",4
"34",1462,"Acalli","U.S.A.",2015,"Peru","Chulucanas, El Platanal, batch 001","70%","2- B,S","yellow fruit",3.75
"35",1470,"Acalli","U.S.A.",2015,"Peru","Tumbes, Norandino","70%","2- B,S","intense, nutty, cherry, cocoa",3.75
"36",2462,"Acalli","U.S.A.",2020,"Mexico","Teapa, Tabasco, batch 2","74%","2- B,S","herbal, molasses, hammy",3.25
"37",2470,"Acalli","U.S.A.",2020,"Peru","Barataria, El Plantal and Norandino Tumbes blend","70%","2- B,S","hot cocoa, rich, molasses",3.5
"38",705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu","60%","3- B,S,C","sweet, sublte strawberry",2.75
"39",705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu, Toto-A","80%","3- B,S,C","spicy and candy-like",3.25
"40",705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu","88%","3- B,S,C","orange, floral, lemon",3.5
"41",705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu, Ami-Ami-CA","72%","3- B,S,C","cocoa and powerful tang",3.5
"42",2438,"Aelan","Vanuatu",2019,"Vanuatu","Malekula Island, batch M10/19","70%","2- B,S","unrefined, sweet, metallic",2.5
"43",2438,"Aelan","Vanuatu",2019,"Vanuatu","Malo Island, batch Ma20/19","70%","2- B,S","basic, sweet, cocoa, woody",2.75
"44",2442,"Aelan","Vanuatu",2019,"Vanuatu","Santo Island, batch S15/19","70%","2- B,S","sweet, cocoa, rubbery",2.75
"45",2438,"Aelan","Vanuatu",2019,"Vanuatu","EPI Island, batch E 11/19","70%","2- B,S","sandy, woody, spicy, sweet",3
"46",370,"Aequare (Gianduja)","Ecuador",2009,"Ecuador","Los Rios, Quevedo, Arriba","55%","4- B,S,C,V","sandy, sweet, banana cream",2.75
"47",370,"Aequare (Gianduja)","Ecuador",2009,"Ecuador","Los Rios, Quevedo, Arriba","70%","4- B,S,C,V","roasty, nutty, coffee",3
"48",316,"Ah Cacao","Mexico",2009,"Mexico","Tabasco","70%","3- B,S,C","gritty, spice, cocoa",3
"49",502,"Akesson's (Pralus)","U.K.",2010,"Madagascar","Madagascar, Ambolikapiky P.","75%","4- B,S,C,L","strong pepper, musty",2.75
"50",508,"Akesson's (Pralus)","U.K.",2010,"Brazil","Monte Alegre, D. Badero","75%","4- B,S,C,L","fatty, intense, woody",2.75
"51",636,"Akesson's (Pralus)","U.K.",2011,"Indonesia","Bali (west), Sukrama Family, Melaya area","75%","4- B,S,C,L","hay, nut, berry",3.75
"52",1061,"Alain Ducasse","France",2013,"Venezuela","Chuao","75%","5- B,S,C,V,L","sandy, dirt, ashey",2.5
"53",1173,"Alain Ducasse","France",2013,"Peru","Piura, Perou","75%","5- B,S,C,V,L","cardboard, dirt, roasty",2.5
"54",1215,"Alain Ducasse","France",2014,"Trinidad","Trinite","65%","6-B,S,C,V,L,Sa","roasty, sweet, savory",2.75
"55",1215,"Alain Ducasse","France",2014,"Vietnam","Vietnam","75%","5-B,S,C,V,Sa","nutty, roasty, odd dairy",2.75
"56",1215,"Alain Ducasse","France",2014,"Madagascar","Madagascar","75%","5-B,S,C,V,Sa","citrus, fatty, dairy",3
"57",1992,"Alain Ducasse","France",2017,"Mexico","Porcelana, Mexique","75%","6-B,S,C,V,L,Sa","strawberry, cream, gateway",3.5
"58",1944,"Alexandre","Netherlands",2017,"Ecuador","Winak Coop, Napo","70%","3- B,S,C","sandy, green, floral",3.5
"59",1944,"Alexandre","Netherlands",2017,"Nicaragua","La Dalia, Matagalpa","70%","3- B,S,C","sandy, sweet, nibby",3.5
"60",1944,"Alexandre","Netherlands",2017,"Tanzania","Makwale Village, Kyela","70%","3- B,S,C","sandy, melon, banana",3.5
"61",1944,"Alexandre","Netherlands",2017,"Vietnam","Tien Giang","70%","3- B,S,C","sandy, sweet, roasty",3.5
"62",1125,"Altus aka Cao Artisan","U.S.A.",2013,"Venezuela","Sur del Lago","60%","4- B,S,C,L","sweet, moldy, off",2.5
"63",1125,"Altus aka Cao Artisan","U.S.A.",2013,"Dominican Republic","Conacado, batch 130","60%","4- B,S,C,L","sandy, sweet, dairy, spice",3
"64",1133,"Altus aka Cao Artisan","U.S.A.",2013,"Bolivia","Bolivia, batch 154","60%","4- B,S,C,L","grit, sweet, caramel, fruit",3
"65",1129,"Altus aka Cao Artisan","U.S.A.",2013,"Bolivia","Bolivia, batch 101","80%","4- B,S,C,L","gritty, berry, mild bitter",3.25
"66",1133,"Altus aka Cao Artisan","U.S.A.",2013,"Peru","Peru, batch 148","60%","4- B,S,C,L","gritty, too sweet, fruit",3.25
"67",1732,"Altus aka Cao Artisan","U.S.A.",2016,"Bolivia","CIAAB Coop","60%","3- B,S,C","sandy, sweet, pungent",2.5
"68",1732,"Altus aka Cao Artisan","U.S.A.",2016,"Peru","Villa Andina","60%","3- B,S,C","sandy, sweet, sour, off",2.5
